3 1000
6752 5452 6590
323 982 5652
5363 5717 8826
5399 7548 7928
6571 8909 5619
3844 8764 6894
520 2592 539
72 8568 6913
8898 7443 2229
3928 917 9193
3993 1386 9339
6556 5060 7980
8540 3481 3067
8826 6312 7453
5556 9711 9453
9308 8420 6185
3623 4383 1040
6107 435 9851
2319 6726 7252
5577 4359 9904
7655 8350 2973
1561 3061 1819
6760 3948 8444
6995 8973 1827
7640 646 8880
6173 6203 1439
1848 1469 2270
6173 9869 5207
8426 936 6745
668 11 4544
4640 6602 7857
4097 1243 9874
5919 5001 9234
9690 6762 286
2286 4483 384
6588 4321 5065
4334 6621 1236
125 5598 475
6818 2684 7221
619 7064 8582
5140 7904 9637
603 3178 8455
7654 4331 6696
3765 9555 4327
7844 8849 9238
1717 7896 5797
3211 6797 4641
2575 3953 2737
5279 9408 1225
8987 7810 7601
5528 5466 6382
8129 448 1144
8554 9851 3089
3096 4957 9684
4328 4635 4319
9588 3096 3604
9311 7694 1412
4433 1201 3432
9397 46 3768
8995 1961 2220
9464 1988 1416
1476 3262 6593
2701 118 2199
3116 461 4487
1047 8235 9691
5045 7101 813
4155 5378 9545
608 9320 3695
1369 9727 8996
2950 4303 9167
7429 8143 9735
5292 1042 1924
1086 3579 6557
2076 5613 9490
4716 6979 6093
8800 1310 7648
5382 2239 9745
7428 9295 1775
1859 2962 5786
8403 6212 2502
900 3761 5562
173 4457 432
7747 7275 943
8275 6706 4222
3574 6618 2829
9205 2003 4670
4384 2187 6637
4987 4223 5300
5038 7336 8487
3266 8369 2809
6537 9911 8357
519 3824 9383
7745 1733 1908
3155 9701 8775
2372 6419 4143
8552 3809 9952
1465 3041 3645
6063 6621 1586
8981 9695 9036
2338 3191 8298
6321 2698 7494
6544 2254 1091
9211 4503 1996
4926 931 344
10 2080 7307
1185 8661 5749
8694 8164 7951
5016 3353 4334
9370 5971 2439
6473 9327 736
4491 4404 123
4232 8637 3923
8954 1032 8250
1917 7887 7149
9252 4777 302
4098 9796 3695
1750 5074 554
2942 5712 5602
7301 9714 7204
3480 52 6647
9735 5389 5437
588 3539 9978
1552 3727 5597
9804 7000 5668
4376 6945 8339
7547 4789 9640
2657 1779 1316
9796 4490 3542
9780 3714 8813
2573 722 863
4303 6387 9862
8064 3611 8507
3614 8909 9856
7789 107 775
1051 7453 8704
4265 6694 4902
3465 2428 3236
5925 8544 9593
7636 9377 5971
2174 744 936
8803 6271 4707
7022 5093 9433
1126 2478 673
6404 9197 8101
1190 1218 5522
6627 6392 464
9847 8249 2105
5086 3411 9276
7899 547 9155
16 880 7709
5482 486 8610
9264 7811 5034
6595 9075 4627
9471 8324 4251
7254 6811 8332
2315 5067 201
1242 8305 359
4148 2267 9146
9593 7631 7130
5147 241 5184
1883 952 4942
4562 5587 808
7192 2062 1313
5476 5288 9115
3454 640 3739
6221 1799 9152
3868 2840 5338
1956 7825 4317
1286 5048 2723
9447 7265 2288
4122 4764 7139
6443 575 4158
3457 3273 3461
4902 1976 6026
8818 3693 6235
171 393 8792
2640 721 5640
6868 9046 6994
8870 5629 2283
2134 8274 5834
2616 7272 6055
8792 5586 2628
3361 7926 4226
440 4258 5506
7094 7024 5453
8145 116 3847
989 7139 2686
9923 3630 2265
1011 397 7148
115 4158 8657
6248 563 773
1806 3329 7463
6945 1860 3811
2173 8181 7491
4253 983 958
3673 9963 68
1830 9081 1332
4034 4546 3563
613 6665 8160
556 3349 4960
1591 1772 1182
56 2610 4005
5263 1128 1718
397 1968 862
3890 1017 5150
3596 3639 83
1648 9715 1390
9688 9258 2407
1615 2351 8899
5361 5703 7262
5189 2508 5046
7544 2140 3396
2280 8389 3209
292 1188 8404
7405 5614 8202
9015 5684 766
991 9271 4341
9994 2091 5893
4633 5341 8064
906 328 1301
7130 1716 7419
257 766 941
2721 2318 7218
5884 550 5620
7418 9952 9229
